protocol,feature,count,min,p25,median,p75,max,mean,std
mqtt,f00,6669,0.2,1.0,1.0,1.0,1.0,0.8069875543559755,0.3422808091928791
mqtt,f01,6669,0.5,0.5,0.5,0.5,0.5,0.5,0.0
mqtt,f02,6669,0.0,0.1320763322009395,0.21540721992910022,0.400601153279403,0.9193675623362616,0.2776833741342687,0.23294111110708388
mqtt,f03,6669,0.0,0.5,0.5,0.5,0.5,0.37936722147248464,0.21392550574554944
mqtt,f04,6669,0.25,0.25,0.25,0.25,0.25,0.25,0.0
mqtt,f05,6669,0.45,0.45,0.45,0.45,0.45,0.45,0.0
mqtt,f06,6669,0.5,0.5,0.5,0.5,0.5,0.5,0.0
mqtt,f07,6669,0.5,0.5,0.5,0.5,0.5,0.5,0.0
mqtt,f08,6669,0.2,0.2,0.2,0.2,0.2,0.20000000000000004,2.7755575615628914e-17
mqtt,f09,6669,0.05,0.05,0.05,0.05,0.05,0.05000000000000001,6.938893903907228e-18
mqtt,f10,6669,0.2,0.2,0.2,0.2,0.6,0.24822312190733245,0.1302450739047106
mqtt,f11,6669,0.15,0.15,0.15,0.15,0.15,0.15,0.0
mqtt,f12,6669,0.2,0.2,0.2,0.2,0.8,0.27233468286099866,0.19536761085706592
mqtt,f13,6669,0.0,0.002,0.005,0.027000000000000003,1.0,0.07373099415204679,0.21446303428085406
mqtt,f14,6669,0.95,0.95,0.95,0.95,0.95,0.9499999999999998,1.1102230246251565e-16
mqtt,f15,6669,1.0,1.0,1.0,1.0,1.0,1.0,0.0
mqtt,f16,6669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mqtt,f17,6669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mqtt,f18,6669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mqtt,f19,6669,0.2,0.2,0.2,0.2,1.0,0.2964462438146649,0.2604901478094212
mqtt,f20,6669,0.6,0.6,0.6,0.6,0.6,0.6,0.0
mqtt,f21,6669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mqtt,f22,6669,0.2,0.2,0.2,0.2,0.2,0.20000000000000004,2.7755575615628914e-17
mqtt,f23,6669,0.5,0.5,0.5,0.5,0.5,0.5,0.0
mqtt,f24,6669,0.0,0.0009765625,0.00244140625,0.01318359375,1.0,0.05541439402459139,0.19514909889724066
mqtt,f25,6669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mqtt,f26,6669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mqtt,f27,6669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mqtt,f28,6669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mqtt,f29,6669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mqtt,f30,6669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mqtt,f31,6669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mqtt,f32,6669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coap,f00,4540,1.0,1.0,1.0,1.0,1.0,1.0,0.0
coap,f01,4540,0.5,0.5,0.5,0.5,0.5,0.5,0.0
coap,f02,4540,0.23393937782308158,0.38206899538542166,0.4404372588981815,0.5237681466263422,0.7548104912918538,0.4651887163873438,0.14698612711576595
coap,f03,4540,0.5,0.5,0.5,0.5,0.5,0.5,0.0
coap,f04,4540,0.3,0.3,0.3,0.3,0.3,0.3,0.0
coap,f05,4540,0.5,0.5,0.5,0.5,0.5,0.5,0.0
coap,f06,4540,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coap,f07,4540,0.3,0.3,0.3,0.3,0.3,0.3,0.0
coap,f08,4540,0.25,0.25,0.25,0.25,0.25,0.25,0.0
coap,f09,4540,0.05,0.05,0.05,0.05,0.05,0.05,0.0
coap,f10,4540,0.2,0.2,0.4,0.6,0.6,0.4,0.19999999999999998
coap,f11,4540,0.4,0.4,0.4,0.4,0.4,0.4,0.0
coap,f12,4540,0.3,0.3,0.3,0.3,0.3,0.3,0.0
coap,f13,4540,0.005859375,0.0224609375,0.037109375,0.0751953125,0.51953125,0.1145249690253304,0.18129938547620564
coap,f14,4540,0.95,0.95,0.95,0.95,0.95,0.95,0.0
coap,f15,4540,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coap,f16,4540,1.0,1.0,1.0,1.0,1.0,1.0,0.0
coap,f17,4540,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coap,f18,4540,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coap,f19,4540,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coap,f20,4540,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coap,f21,4540,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coap,f22,4540,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coap,f23,4540,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coap,f24,4540,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coap,f25,4540,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coap,f26,4540,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coap,f27,4540,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coap,f28,4540,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coap,f29,4540,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coap,f30,4540,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coap,f31,4540,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coap,f32,4540,0.0,0.0,0.0,0.0,0.0,0.0,0.0
